berco,imo,navio,bordo,comp(m),dwt,carga,qtdcarga,calado(m),agencia,ultima_atualizacao,operacao,ultima_atualizacao,prev_chegada,join_key,source_system,extracted_at
B099,9502362,LACTA,BORESTE,197,58.713,CLINQUER,49.45,11.5,LBH BRASIL,14/01/26,,,,LACTA,EMAP,2026-01-17 10:46:21
B100,9928906,COSCO SHIPPING FAN RONG,BORESTE,202,61.537,CELULOSE,58.0,6.0,WILHELMSEN PORT SERVICES BRASIL LTDA,17/01/26,,,,COSCOSHIPPINGFANRONG,EMAP,2026-01-17 10:46:21
B101,9642784,MING DE,BORESTE,229,82.111,FERTILIZANTES,56.1,11.5,WILSON SONS SHIPPING SERVICES LTDA,15/01/26,,,,MINGDE,EMAP,2026-01-17 10:46:21
B102,9657777,SAMSUN,BORESTE,200,63.2,FERTILIZANTES,47.5,11.5,WILSON SONS SHIPPING SERVICES LTDA,14/01/26,,,,SAMSUN,EMAP,2026-01-17 10:46:21
B106,9978676,NORTH STAR,BOMBORDO,250,114.753,DIESEL,124.85,14.0,GAC DO BRASIL,16/01/26,,,,NORTHSTAR,EMAP,2026-01-17 10:46:21
B106B,9390020,DALLAS,BORESTE,183,65.118,DIESEL,21.0,7.0,LACHMANN,17/01/26,,,,DALLAS,EMAP,2026-01-17 10:46:21
B108,9461673,MAGNATE,BORESTE,183,49.999,DIESEL S500,31.104,9.9,WILSON SONS SHIPPING SERVICES LTDA,15/01/26,,,,MAGNATE,EMAP,2026-01-17 10:46:21
,9933066,FEDERAL INTEGRITY,,200,63.729,FERTILIZANTES,31.63,8.0,ROCHAMAR,,IMPORTAÇÃO,17/01/26,,FEDERALINTEGRITY,EMAP,2026-01-17 10:46:21
,9423554,SUN PLENTY,,190,58.729,FERTILIZANTES,8.311,11.5,ZPORT AGENCIA MARITIMA,,IMPORTAÇÃO,07/05/25,,SUNPLENTY,EMAP,2026-01-17 10:46:21
,9911587,CL GENEVA,,230,85.229,OLEO.COMBUSTÍVEL,350.0,7.6,LBH BRASIL,,EXPORTAÇÃO,21/10/24,,CLGENEVA,EMAP,2026-01-17 10:46:21
,9926130,POMONE,,229,82.247,SOJA,69.292,7.3,WILSON SONS SHIPPING SERVICES LTDA,16/01/26,EXPORTAÇÃO,,19/01/26,POMONE,EMAP,2026-01-17 10:46:21
,9679050,THOR FREYJA,,64,1.923,CONSUMO,0.0,5.2,ORIZON MARITIMA,06/11/25,TRANSBORDO,,21/10/25,THORFREYJA,EMAP,2026-01-17 10:46:21
,9406075,CLIPPER TALENT,,179,30.475,FERTILIZANTES,28.65,10.0,ALPHAMAR,14/01/26,IMPORTAÇÃO,,31/01/26,CLIPPERTALENT,EMAP,2026-01-17 10:46:21
,9596844,BARBOSA LIMA SOBRINHO,,118,5.079,GLP,35.0,7.2,LACHMANN,16/01/26,IMPORTAÇÃO,,21/01/26,BARBOSALIMASOBRINHO,EMAP,2026-01-17 10:46:21
,9144380,BRAGE R,,89,3.2,DIESEL,200.0,4.0,OCEANMAR SERVIÇOS MARÍTIMOS LTDA,21/10/24,TRANSBORDO,,20/09/21,BRAGER,EMAP,2026-01-17 10:46:21
,9433327,BBC AUSTRIA,,120,7.741,DIESEL,0.0,6.5,ORION RODOS,21/10/24,TRANSBORDO,,20/12/23,BBCAUSTRIA,EMAP,2026-01-17 10:46:21
,9580120,GOLF,,180,35.445,COBRE,161.0,7.0,WILHELMSEN PORT SERVICES BRASIL LTDA,21/10/24,EXPORTAÇÃO,,17/04/22,GOLF,EMAP,2026-01-17 10:46:21
,9559200,DN 204,,29,381.0,BUNKER,3.0,2.44,ORION RODOS,21/10/24,TRANSBORDO,,26/02/22,DN204,EMAP,2026-01-17 10:46:21
