Berco,imo,Navio,bordo,comp_m,DWT,Mercadoria,qtdcarga,calado_m,agencia,Atualizacao,operacao,ultima_atualizacao_1,Chegada,join_key,source_system,ExtraidoEm,perfil_modelo,tempo_espera_previsto_horas,tempo_espera_previsto_dias,classe_espera_prevista,risco_previsto,probabilidade_prevista,data_chegada_dt,eta_mais_espera,perfil,mae_esperado,tier
,9144380,BRAGE R,,89,3.2,DIESEL,200.0,4.0,OCEANMAR SERVIÇOS MARÍTIMOS LTDA,21/10/24,TRANSBORDO,,20/09/21,BRAGER,EMAP,2026-01-17 10:46:21,VEGETAL,,,,,0.573,2021-09-20,2021-09-20 00:00:00.000000000,VEGETAL,38,BASIC
,9559200,DN 204,,29,381.0,BUNKER,3.0,2.44,ORION RODOS,21/10/24,TRANSBORDO,,26/02/22,DN204,EMAP,2026-01-17 10:46:21,VEGETAL,,,,,0.637,2022-02-26,2022-02-26 00:00:00.000000000,VEGETAL,38,BASIC
,9580120,GOLF,,180,35.445,COBRE,161.0,7.0,WILHELMSEN PORT SERVICES BRASIL LTDA,21/10/24,EXPORTAÇÃO,,17/04/22,GOLF,EMAP,2026-01-17 10:46:21,MINERAL,,,,,0.52,2022-04-17,2022-04-17 00:00:00.000000000,MINERAL,31,BASIC
,9433327,BBC AUSTRIA,,120,7.741,DIESEL,0.0,6.5,ORION RODOS,21/10/24,TRANSBORDO,,20/12/23,BBCAUSTRIA,EMAP,2026-01-17 10:46:21,VEGETAL,,,,,0.544,2023-12-20,2023-12-20 00:00:00.000000000,VEGETAL,38,BASIC
,9679050,THOR FREYJA,,64,1.923,CONSUMO,0.0,5.2,ORIZON MARITIMA,06/11/25,TRANSBORDO,,21/10/25,THORFREYJA,EMAP,2026-01-17 10:46:21,VEGETAL,67.55,2.81,Medio,Medio,0.494,2025-10-21,2025-10-23 19:33:00.000000000,VEGETAL,38,BASIC
,9933066,FEDERAL INTEGRITY,,200,63.729,FERTILIZANTES,31.63,8.0,ROCHAMAR,,IMPORTAÇÃO,17/01/26,,FEDERALINTEGRITY,EMAP,2026-01-17 10:46:21,FERTILIZANTE,,,,,0.682,2026-01-18,2026-01-18 00:00:00.000000000,FERTILIZANTE,79,BASIC
,9423554,SUN PLENTY,,190,58.729,FERTILIZANTES,8.311,11.5,ZPORT AGENCIA MARITIMA,,IMPORTAÇÃO,07/05/25,,SUNPLENTY,EMAP,2026-01-17 10:46:21,FERTILIZANTE,,,,,0.649,2026-01-18,2026-01-18 00:00:00.000000000,FERTILIZANTE,79,BASIC
B099,9502362,LACTA,BORESTE,197,58.713,CLINQUER,49.45,11.5,LBH BRASIL,14/01/26,,,,LACTA,EMAP,2026-01-17 10:46:21,VEGETAL,37.53,1.56,Longo,Alto,0.477,2026-01-18,2026-01-19 13:31:48.000000000,VEGETAL,38,BASIC
B100,9928906,COSCO SHIPPING FAN RONG,BORESTE,202,61.537,CELULOSE,58.0,6.0,WILHELMSEN PORT SERVICES BRASIL LTDA,17/01/26,,,,COSCOSHIPPINGFANRONG,EMAP,2026-01-17 10:46:21,VEGETAL,42.61,1.78,Longo,Alto,0.416,2026-01-18,2026-01-19 18:36:36.000000000,VEGETAL,38,BASIC
B106,9978676,NORTH STAR,BOMBORDO,250,114.753,DIESEL,124.85,14.0,GAC DO BRASIL,16/01/26,,,,NORTHSTAR,EMAP,2026-01-17 10:46:21,VEGETAL,52.97,2.21,Longo,Alto,0.46,2026-01-18,2026-01-20 04:58:12.000000000,VEGETAL,38,BASIC
