n,portid,portname,country,ISO3
2524,port2050,Angra Dos Reis,Brazil,BRA
2524,port62,Aratu,Brazil,BRA
2524,port2353,Areia Branca,Brazil,BRA
2524,port140,Belem,Brazil,BRA
2524,fso0,Brazil - Offshore Oil Terminal 1,Brazil,BRA
2524,fso1,Brazil - Offshore Oil Terminal 10,Brazil,BRA
2524,fso2,Brazil - Offshore Oil Terminal 11,Brazil,BRA
2524,fso3,Brazil - Offshore Oil Terminal 12,Brazil,BRA
2524,fso4,Brazil - Offshore Oil Terminal 13,Brazil,BRA
2524,fso5,Brazil - Offshore Oil Terminal 14,Brazil,BRA
2524,fso6,Brazil - Offshore Oil Terminal 15,Brazil,BRA
2524,fso7,Brazil - Offshore Oil Terminal 16,Brazil,BRA
2524,fso8,Brazil - Offshore Oil Terminal 17,Brazil,BRA
2524,fso9,Brazil - Offshore Oil Terminal 18,Brazil,BRA
2524,fso10,Brazil - Offshore Oil Terminal 19,Brazil,BRA
2524,fso11,Brazil - Offshore Oil Terminal 2,Brazil,BRA
2524,fso12,Brazil - Offshore Oil Terminal 20,Brazil,BRA
2524,fso13,Brazil - Offshore Oil Terminal 21,Brazil,BRA
2524,fso14,Brazil - Offshore Oil Terminal 22,Brazil,BRA
2524,fso15,Brazil - Offshore Oil Terminal 23,Brazil,BRA
2524,fso16,Brazil - Offshore Oil Terminal 24,Brazil,BRA
2524,fso17,Brazil - Offshore Oil Terminal 25,Brazil,BRA
2524,fso18,Brazil - Offshore Oil Terminal 26,Brazil,BRA
2524,fso19,Brazil - Offshore Oil Terminal 27,Brazil,BRA
2524,fso20,Brazil - Offshore Oil Terminal 28,Brazil,BRA
2524,fso21,Brazil - Offshore Oil Terminal 29,Brazil,BRA
2524,fso22,Brazil - Offshore Oil Terminal 3,Brazil,BRA
2524,fso23,Brazil - Offshore Oil Terminal 30,Brazil,BRA
2524,fso24,Brazil - Offshore Oil Terminal 31,Brazil,BRA
2524,fso25,Brazil - Offshore Oil Terminal 32,Brazil,BRA
2524,fso26,Brazil - Offshore Oil Terminal 33,Brazil,BRA
2524,fso27,Brazil - Offshore Oil Terminal 34,Brazil,BRA
2524,fso28,Brazil - Offshore Oil Terminal 35,Brazil,BRA
2524,fso29,Brazil - Offshore Oil Terminal 36,Brazil,BRA
2524,fso30,Brazil - Offshore Oil Terminal 37,Brazil,BRA
2524,fso31,Brazil - Offshore Oil Terminal 38,Brazil,BRA
2524,fso32,Brazil - Offshore Oil Terminal 39,Brazil,BRA
2524,fso33,Brazil - Offshore Oil Terminal 4,Brazil,BRA
2524,fso34,Brazil - Offshore Oil Terminal 40,Brazil,BRA
2524,fso35,Brazil - Offshore Oil Terminal 41,Brazil,BRA
2524,fso36,Brazil - Offshore Oil Terminal 42,Brazil,BRA
2524,fso37,Brazil - Offshore Oil Terminal 43,Brazil,BRA
2524,fso38,Brazil - Offshore Oil Terminal 44,Brazil,BRA
2524,fso39,Brazil - Offshore Oil Terminal 45,Brazil,BRA
2524,fso40,Brazil - Offshore Oil Terminal 5,Brazil,BRA
2524,fso41,Brazil - Offshore Oil Terminal 6,Brazil,BRA
2524,fso42,Brazil - Offshore Oil Terminal 7,Brazil,BRA
2524,fso43,Brazil - Offshore Oil Terminal 8,Brazil,BRA
2524,fso44,Brazil - Offshore Oil Terminal 9,Brazil,BRA
2524,port200,Cabedelo,Brazil,BRA
2524,port2354,Carinhoso,Brazil,BRA
2524,port2355,Coari,Brazil,BRA
2524,port2357,Correa,Brazil,BRA
2524,port2358,Estaleiro Jurong,Brazil,BRA
2524,port1001,Fortaleza (Mucuripe),Brazil,BRA
2524,port382,Gebig,Brazil,BRA
2524,port422,Guaiba Island Terminal,Brazil,BRA
2524,port2098,Guamare,Brazil,BRA
2524,port492,Imbituba,Brazil,BRA
2524,port2099,Itacoatiara,Brazil,BRA
2524,port2359,Itahum,Brazil,BRA
2524,port2360,Itaituba,Brazil,BRA
2524,port505,Itajai,Brazil,BRA
2524,port2035,Itapoa,Brazil,BRA
2524,port506,Itaqui,Brazil,BRA
2524,port2361,Juruti,Brazil,BRA
2524,port673,Macae,Brazil,BRA
2524,port677,Madre De Deus,Brazil,BRA
2524,port693,Manaus,Brazil,BRA
2524,port2362,Munguba,Brazil,BRA
2524,port2363,Murtinho,Brazil,BRA
2524,port799,Natal,Brazil,BRA
2524,port2364,Norte Capixaba,Brazil,BRA
2524,port2365,Osorio,Brazil,BRA
2524,port885,Paranagua,Brazil,BRA
2524,port2366,Pelotas,Brazil,BRA
2524,port2367,Petrobras,Brazil,BRA
2524,port2368,Ponta Ubu,Brazil,BRA
2524,port941,Port De Aracaju,Brazil,BRA
2524,port944,Port De Salvador,Brazil,BRA
2524,port997,Porto Alegre,Brazil,BRA
2524,port1000,Porto De Maceio,Brazil,BRA
2524,port1002,Porto De Suape,Brazil,BRA
2524,port1010,Porto Pecem,Brazil,BRA
2524,port2331,Porto Sul,Brazil,BRA
2524,port2369,Porto Velho,Brazil,BRA
2524,port2045,Porto de Itaguai,Brazil,BRA
2524,port166,Porto do Acu,Brazil,BRA
2524,port1012,Portocel,Brazil,BRA
2524,port2370,Portuário Novo Remanso,Brazil,BRA
2524,port1094,Recife,Brazil,BRA
2524,port1103,Rio De Janeiro,Brazil,BRA
2524,port1104,Rio Grande,Brazil,BRA
2524,port2371,Santana,Brazil,BRA
2524,port2372,Santarem,Brazil,BRA
2524,port1160,Santos,Brazil,BRA
2524,port1161,Sao Francisco,Brazil,BRA
2524,port1162,Sao Sebastiao,Brazil,BRA
2524,port2373,Trombetas,Brazil,BRA
2524,port1328,Tubarao,Brazil,BRA
2524,port2046,Vila Do Conde,Brazil,BRA
2524,port1368,Vitoria,Brazil,BRA
